class	dropped_lines	file	detail
SAFE-NEW	0	src/auto-reply/continuation/signal.test.ts	-
SAFE-NEW	0	src/auto-reply/continuation/signal.ts	-
SAFE-NEW	0	src/auto-reply/continuation/state.test.ts	-
SAFE-NEW	0	src/auto-reply/continuation/state.ts	-
SAFE-NEW	0	src/auto-reply/continuation/targeting-pure.ts	-
SAFE-NEW	0	src/auto-reply/continuation/targeting.ts	-
SAFE-NEW	0	src/auto-reply/continuation/trace-context-propagation.integration.test.ts	-
SAFE-NEW	0	src/auto-reply/continuation/types.mode-shape.test.ts	-
SAFE-NEW	0	src/auto-reply/continuation/types.ts	-
SAFE-NEW	0	src/auto-reply/continuation/volatile-map-allowlist.test.ts	-
SAFE-NEW	0	src/auto-reply/continuation/work-dispatch.test.ts	-
SAFE-NEW	0	src/auto-reply/continuation/work-dispatch.ts	-
SAFE-NEW	0	src/auto-reply/continuation/work-store.ts	-
GENUINE	0	src/auto-reply/get-reply-options.types.ts	-
SAFE-NEW	0	src/auto-reply/reply/agent-runner-execution.context-usage.test.ts	-
SAFE-NEW	0	src/auto-reply/reply/agent-runner-execution.release-queued-compaction.test.ts	-
GENUINE	0	src/auto-reply/reply/agent-runner-execution.test.ts	-
MIXED-CLOBBER	21	src/auto-reply/reply/agent-runner-execution.ts	?
GENUINE	0	src/auto-reply/reply/agent-runner-session-reset.ts	-
SAFE-NEW	0	src/auto-reply/reply/agent-runner.continuation-delegate-fire-span.test.ts	-
SAFE-NEW	0	src/auto-reply/reply/agent-runner.continuation-delegate-reject-obs.test.ts	-
SAFE-NEW	0	src/auto-reply/reply/agent-runner.continuation-postcompaction-autocompaction.test.ts	-
SAFE-NEW	0	src/auto-reply/reply/agent-runner.continuation-postcompaction-staging.test.ts	-
SAFE-NEW	0	src/auto-reply/reply/agent-runner.continuation-span-uniformity.test.ts	-
SAFE-NEW	0	src/auto-reply/reply/agent-runner.continuation-work-span.test.ts	-
SAFE-NEW	0	src/auto-reply/reply/agent-runner.finally-drain-hardening.test.ts	-
GENUINE	0	src/auto-reply/reply/agent-runner.misc.runreplyagent.test.ts	-
MIXED-CLOBBER	134	src/auto-reply/reply/agent-runner.ts	?
GENUINE	0	src/auto-reply/reply/commands-status.test.ts	-
GENUINE	0	src/auto-reply/reply/commands-system-prompt.test.ts	-
GENUINE	0	src/auto-reply/reply/commands-system-prompt.ts	-
SAFE-NEW	0	src/auto-reply/reply/context-pressure.integration.test.ts	-
SAFE-NEW	0	src/auto-reply/reply/context-pressure.test.ts	-
SAFE-NEW	0	src/auto-reply/reply/cot-frame.test.ts	-
SAFE-NEW	0	src/auto-reply/reply/cot-frame.ts	-
GENUINE	0	src/auto-reply/reply/directive-handling.parse.ts	-
GENUINE	0	src/auto-reply/reply/followup-runner.test.ts	-
MIXED-CLOBBER	3	src/auto-reply/reply/followup-runner.ts	?
MIXED-CLOBBER	1	src/auto-reply/reply/get-reply-run.media-only.test.ts	?
GENUINE	0	src/auto-reply/reply/get-reply-run.ts	-
GENUINE	0	src/auto-reply/reply/get-reply.before-agent-reply.test.ts	-
MIXED-CLOBBER	3	src/auto-reply/reply/get-reply.ts	?
SAFE-NEW	0	src/auto-reply/reply/no-op-rearm-guard.test.ts	-
SAFE-NEW	0	src/auto-reply/reply/no-op-rearm-guard.ts	-
SAFE-NEW	0	src/auto-reply/reply/normalize-reply.cot-frame.test.ts	-
GENUINE	0	src/auto-reply/reply/normalize-reply.ts	-
SAFE-NEW	0	src/auto-reply/reply/post-compaction-context-failure.test.ts	-
SAFE-NEW	0	src/auto-reply/reply/post-compaction-delegate-dispatch.test.ts	-
SAFE-NEW	0	src/auto-reply/reply/post-compaction-delegate-dispatch.ts	-
GENUINE	0	src/auto-reply/reply/queue.collect.test.ts	-
GENUINE	0	src/auto-reply/reply/queue.test-helpers.ts	-
GENUINE	0	src/auto-reply/reply/queue/drain.ts	-
GENUINE	0	src/auto-reply/reply/queue/types.ts	-
GENUINE	0	src/auto-reply/reply/reply-state.test.ts	-
SAFE-NEW	0	src/auto-reply/reply/run-provenance.test.ts	-
SAFE-NEW	0	src/auto-reply/reply/run-provenance.ts	-
SAFE-NEW	0	src/auto-reply/reply/session-system-events.test.ts	-
MIXED-CLOBBER	8	src/auto-reply/reply/session-system-events.ts	?
SAFE-NEW	0	src/auto-reply/reply/session-updates.compaction.test.ts	-
MIXED-CLOBBER	2	src/auto-reply/reply/session-updates.ts	?
GENUINE	0	src/auto-reply/reply/session.test.ts	-
GENUINE	0	src/auto-reply/status.test.ts	-
SAFE-NEW	0	src/auto-reply/tokens.continuation.test.ts	-
MIXED-CLOBBER	8	src/auto-reply/tokens.test.ts	?
GENUINE	0	src/auto-reply/tokens.ts	-
